# Arguments: ['MovieLens100K', 8000, 3, 32, 100, 'xavier', 'NGCF', False]
# Training time: 433.5458459854126
Epoch,Loss,Precision,Recall,Hits
0,0.6760972380638123,0.2274509837165118,0.1462020209152454,0.9302832244008714
1,0.5367171555757523,0.2357298408458435,0.1560981102239072,0.9215686274509803
2,0.4666895657777786,0.2480392289836941,0.1489272273443882,0.915032679738562
3,0.4520718723535538,0.2468409652543743,0.1420292075163398,0.9041394335511983
4,0.4377639353275299,0.2418300653594771,0.1345545949499591,0.9019607843137254
5,0.427741327881813,0.2354030567576422,0.138584926497183,0.8997821350762526
6,0.4158674120903015,0.2215686208022705,0.1250659718232996,0.8801742919389979
7,0.4113394469022751,0.1977124349224281,0.1080629436019199,0.8736383442265795
8,0.4066856563091278,0.2076252789798645,0.1109019094562738,0.8496732026143791
9,0.4037235230207443,0.2045751667230477,0.1025088939791411,0.8431372549019607
10,0.3985784918069839,0.2193899715647977,0.1265833570027403,0.8888888888888888
11,0.3962170302867889,0.2174292005484919,0.1177561807736332,0.8540305010893244
12,0.393141633272171,0.2328976234319682,0.1499625810610702,0.9259259259259257
13,0.387869980931282,0.2494553376906318,0.1735746263159126,0.9389978213507624
14,0.3783533453941345,0.2638344359553717,0.177813444781667,0.9368191721132897
15,0.3673106729984283,0.2742919257004017,0.1901523365693933,0.9433551198257081
16,0.3601777613162994,0.2749455603639025,0.1879853059523505,0.9477124183006534
17,0.35597964823246,0.2744008648109851,0.177398797993047,0.9324618736383441
18,0.3520852506160736,0.2649237605741081,0.1761059896099281,0.9237472766884531
19,0.3515752285718918,0.2799564270152505,0.1826046214384191,0.9281045751633986
20,0.3491140335798263,0.2745098205433432,0.1760007571550755,0.9368191721132897
21,0.3461770921945571,0.2749455271203533,0.1796522285943457,0.9259259259259257
22,0.3478098213672638,0.28082787341282,0.1833643196455014,0.9324618736383441
23,0.3455350190401077,0.265032683062917,0.1736356116068389,0.9368191721132897
24,0.3442263126373291,0.2808279066563691,0.1838935901916105,0.9281045751633986
25,0.3428349316120148,0.2683006402973515,0.177001753663705,0.9281045751633986
26,0.3398677289485931,0.268627457629102,0.1799700036807257,0.9411764705882352
27,0.3426318317651748,0.2823529544738902,0.1872954524420445,0.9433551198257081
28,0.3398487120866775,0.2773420545789931,0.1831938134818814,0.9389978213507624
29,0.3383426636457443,0.2801743052364175,0.1900941603583708,0.9564270152505445
30,0.3392599582672119,0.2913943355119825,0.1886108664385893,0.9389978213507624
31,0.3365189999341965,0.2793028255952989,0.18399303826891,0.9498910675381264
32,0.334505620598793,0.2816993862974877,0.1836755623744723,0.9215686274509803
33,0.3332813262939453,0.2816993530539386,0.1864379683351205,0.9477124183006534
34,0.3356937408447266,0.2834422790926266,0.1907617240689678,0.9498910675381264
35,0.3331844091415405,0.2775599161783854,0.1834046939359511,0.9368191721132897
36,0.3318361610174179,0.2839869414019948,0.1853959326650582,0.9389978213507624
37,0.3324840724468231,0.2877995775675722,0.1925172494127859,0.9498910675381264
38,0.3307714998722076,0.2910675514237813,0.1924387613932291,0.9389978213507624
39,0.3328129827976226,0.2805010893246187,0.1789510390337775,0.9389978213507624
40,0.3269500374794006,0.275599128540305,0.1809561735664318,0.9237472766884531
41,0.3290823996067047,0.275599128540305,0.188664588014025,0.9455337690631809
42,0.3282829642295837,0.2834422790926266,0.1867794793155977,0.9259259259259257
43,0.3274898439645767,0.2844226646007795,0.1858614587056611,0.9324618736383441
44,0.327721843123436,0.2855119892195159,0.1908500189355256,0.9455337690631809
45,0.3255886822938919,0.294226586169407,0.1917477443587026,0.9368191721132897
46,0.3251599162817001,0.2871459761476205,0.1816061514395254,0.9281045751633986
47,0.3228611767292023,0.2818082921645221,0.185951714941619,0.9477124183006534
48,0.3238983899354934,0.2979302832244008,0.1955172636410249,0.9520697167755992
