# Arguments: [RotatE(2625, num_relations=1, hidden_channels=50), 8000, 100, True]
# Training time: 147.31998562812805
Epoch,Loss,Precision,Recall,Hits
46,1.5523336291313172,"tensor(0.0029, device='cuda:0')","tensor(0.0075, device='cuda:0')","tensor(0.0563, device='cuda:0')"
47,1.5037423729896546,"tensor(0.0032, device='cuda:0')","tensor(0.0076, device='cuda:0')","tensor(0.0628, device='cuda:0')"
48,1.4554838061332702,"tensor(0.0032, device='cuda:0')","tensor(0.0076, device='cuda:0')","tensor(0.0628, device='cuda:0')"
49,1.4099962830543518,"tensor(0.0031, device='cuda:0')","tensor(0.0075, device='cuda:0')","tensor(0.0584, device='cuda:0')"
50,1.3647966265678406,"tensor(0.0032, device='cuda:0')","tensor(0.0077, device='cuda:0')","tensor(0.0628, device='cuda:0')"
51,1.3220635652542114,"tensor(0.0034, device='cuda:0')","tensor(0.0078, device='cuda:0')","tensor(0.0649, device='cuda:0')"
52,1.2816221117973328,"tensor(0.0035, device='cuda:0')","tensor(0.0078, device='cuda:0')","tensor(0.0649, device='cuda:0')"
53,1.2415254592895508,"tensor(0.0032, device='cuda:0')","tensor(0.0078, device='cuda:0')","tensor(0.0606, device='cuda:0')"
54,1.2040420293807983,"tensor(0.0032, device='cuda:0')","tensor(0.0078, device='cuda:0')","tensor(0.0606, device='cuda:0')"
55,1.1678862810134887,"tensor(0.0032, device='cuda:0')","tensor(0.0078, device='cuda:0')","tensor(0.0606, device='cuda:0')"
56,1.1343518376350403,"tensor(0.0034, device='cuda:0')","tensor(0.0079, device='cuda:0')","tensor(0.0628, device='cuda:0')"
57,1.1015783667564392,"tensor(0.0034, device='cuda:0')","tensor(0.0079, device='cuda:0')","tensor(0.0628, device='cuda:0')"
58,1.0730482697486878,"tensor(0.0034, device='cuda:0')","tensor(0.0079, device='cuda:0')","tensor(0.0628, device='cuda:0')"
59,1.0446852326393128,"tensor(0.0034, device='cuda:0')","tensor(0.0079, device='cuda:0')","tensor(0.0628, device='cuda:0')"
60,1.0163169384002686,"tensor(0.0034, device='cuda:0')","tensor(0.0079, device='cuda:0')","tensor(0.0628, device='cuda:0')"
61,0.9917039573192596,"tensor(0.0032, device='cuda:0')","tensor(0.0077, device='cuda:0')","tensor(0.0606, device='cuda:0')"
62,0.9693908631801605,"tensor(0.0034, device='cuda:0')","tensor(0.0077, device='cuda:0')","tensor(0.0628, device='cuda:0')"
63,0.9484462797641754,"tensor(0.0034, device='cuda:0')","tensor(0.0077, device='cuda:0')","tensor(0.0628, device='cuda:0')"
64,0.9290255308151245,"tensor(0.0034, device='cuda:0')","tensor(0.0076, device='cuda:0')","tensor(0.0628, device='cuda:0')"
