# Arguments: [TransE(3595, num_relations=7, hidden_channels=50), 8000, 100, False]
# Training time: 136.23816204071045
Epoch,Loss,Precision,Recall,Hits
0,0.9397351873149568,0.0104,0.012,0.1667
1,0.7704081693604105,0.0167,0.0144,0.2424
2,0.5934386552290966,0.019,0.0144,0.2576
3,0.460575978248408,0.0201,0.0146,0.2727
4,0.3815659609426396,0.0203,0.013,0.2532
5,0.3359225361448345,0.0219,0.0131,0.2749
6,0.3074113132141445,0.0226,0.014,0.3009
7,0.2923796996037415,0.0268,0.015,0.3139
8,0.282220022880858,0.0251,0.0161,0.3182
9,0.2802892135829762,0.0239,0.0155,0.2922
10,0.2773639577503177,0.0245,0.0162,0.2879
11,0.274507858485737,0.0253,0.0153,0.3052
12,0.2713720462650423,0.0244,0.0152,0.2879
13,0.2691717642605206,0.0248,0.0151,0.303
14,0.266063789389438,0.0267,0.0173,0.3095
15,0.266945258866798,0.0264,0.0165,0.3095
16,0.2649600614802011,0.0223,0.0157,0.2987
17,0.2641585342535609,0.0246,0.0153,0.2879
18,0.2638260113598711,0.0246,0.0153,0.2857
19,0.262356642432877,0.0212,0.0151,0.2835
20,0.2613018139438805,0.0241,0.0163,0.3312
21,0.2604648622747452,0.0213,0.0142,0.2835
22,0.2556346950985627,0.0223,0.0155,0.29
23,0.2553977834619206,0.0237,0.0155,0.2944
24,0.2546946598308857,0.0246,0.0168,0.3052
25,0.253904639175468,0.0255,0.0171,0.3139
26,0.2537930239532304,0.0202,0.0148,0.2835
27,0.2513326000278618,0.0228,0.0158,0.3009
28,0.2515858173615942,0.0253,0.016,0.3182
29,0.2507493302391024,0.0212,0.0143,0.2879
30,0.2514572043561429,0.0216,0.0136,0.2771
31,0.2479249065388072,0.0226,0.0148,0.2944
32,0.2474102495365571,0.0246,0.0157,0.3182
33,0.2459430053367658,0.0228,0.0152,0.29
34,0.2487313651231395,0.0235,0.0153,0.3052
35,0.2458898057908179,0.022,0.0143,0.2792
36,0.2439450264746852,0.0251,0.0154,0.3139
37,0.2425562087651804,0.0244,0.015,0.3074
38,0.2437853366706649,0.0211,0.0138,0.2792
39,0.2413104939184948,0.0207,0.0144,0.2792
40,0.2403716879131255,0.0209,0.0162,0.2835
41,0.241029662735364,0.0206,0.0152,0.2857
42,0.2405655116555948,0.0238,0.0167,0.2965
43,0.2373003585347282,0.0226,0.0153,0.2944
44,0.2370557056401029,0.022,0.0155,0.2922
45,0.2370255087690513,0.0218,0.0157,0.2879
46,0.2358855847987401,0.0234,0.0162,0.3203
47,0.2335162505733821,0.0219,0.0161,0.3095
48,0.2345185654741636,0.0222,0.015,0.3139
49,0.2330644745387698,0.0216,0.0156,0.29
50,0.2352807856717535,0.0245,0.0161,0.3225
51,0.2331441413273247,0.0222,0.0162,0.2987
52,0.2311549585562992,0.0247,0.0181,0.3312
53,0.231124624778278,0.024,0.0172,0.3268
54,0.2327441211336213,0.0241,0.0167,0.3333
55,0.2291758887847079,0.0213,0.0155,0.3074
56,0.2290522037342363,0.0224,0.0168,0.3139
57,0.2274094497721257,0.022,0.0155,0.2944
58,0.2276747191750169,0.0235,0.0154,0.2922
59,0.229355451128531,0.0206,0.0138,0.2706
60,0.2282457633070362,0.0236,0.016,0.2987
61,0.2307301584217208,0.0234,0.0165,0.3182
62,0.2246406857160683,0.0234,0.0159,0.3009
63,0.2259766233719502,0.0227,0.0168,0.3052
64,0.2230510087550338,0.025,0.0163,0.3139
65,0.2258990869862831,0.0244,0.0169,0.3139
66,0.2242158875498479,0.0226,0.0153,0.2922
67,0.2224301042753875,0.0236,0.0165,0.3074
68,0.2209724683843421,0.0228,0.0163,0.3139
69,0.2213707740191944,0.0242,0.0166,0.3225
70,0.2222188490288621,0.0245,0.0159,0.3139
71,0.2194222640103206,0.0244,0.0159,0.3203
72,0.2205748167759701,0.0227,0.0145,0.3074
73,0.2197982685831175,0.0226,0.0153,0.3009
74,0.2195632784143237,0.0224,0.0152,0.2944
75,0.2191031078606641,0.0234,0.0158,0.3117
76,0.2212136615230232,0.022,0.0156,0.2922
77,0.2158558541756679,0.0221,0.0159,0.3052
78,0.2210244302106211,0.0225,0.0173,0.3225
79,0.2171167383477764,0.0233,0.0173,0.3074
80,0.2178576991275414,0.0242,0.0179,0.3182
81,0.2188951704583903,0.0231,0.0172,0.3052
82,0.2159503539645712,0.0245,0.0173,0.3203
83,0.2180527879368675,0.0244,0.0167,0.3203
84,0.2158647863664466,0.0226,0.0166,0.3052
85,0.2174291454450055,0.0229,0.0163,0.2922
86,0.2166842470095285,0.024,0.0167,0.316
87,0.2133745225343543,0.0247,0.0172,0.3247
88,0.2144472576532576,0.0265,0.0177,0.3355
89,0.2137223596536227,0.024,0.0158,0.303
90,0.2147632075100783,0.0224,0.0154,0.2857
91,0.2146637910760731,0.0205,0.0146,0.2835
92,0.2168814613637608,0.0237,0.0149,0.2987
93,0.2136705712121858,0.0229,0.015,0.3074
94,0.2172088823151459,0.0251,0.016,0.3247
95,0.2115264813296647,0.0252,0.018,0.3312
96,0.2147989749515113,0.0236,0.0169,0.3247
97,0.2145011993615694,0.0244,0.0158,0.303
98,0.2155615543422107,0.0224,0.0159,0.3009
99,0.2137415804523993,0.0246,0.0166,0.3139
