# Arguments: [TransE(3595, num_relations=7, hidden_channels=25), 8000, 100, False]
# Training time: 139.7161829471588
Epoch,Loss,Precision,Recall,Hits
0,0.9584061112882726,0.0111,0.011,0.1797
1,0.8403251680085234,0.0152,0.0125,0.2273
2,0.709734776848926,0.0172,0.0127,0.2338
3,0.590572026789106,0.0183,0.0125,0.2403
4,0.4995137912882242,0.0181,0.0117,0.2294
5,0.4363893639653279,0.0209,0.0128,0.2489
6,0.3956235894536593,0.019,0.0125,0.2316
7,0.3650359559587546,0.0189,0.0119,0.2338
8,0.3422404522907741,0.0233,0.0139,0.2814
9,0.3260990870196476,0.0225,0.0133,0.2684
10,0.3107470704621964,0.0205,0.0125,0.2468
11,0.3026116223976259,0.0232,0.0141,0.2727
12,0.2956574653611951,0.0248,0.0149,0.2792
13,0.2954028820288777,0.0259,0.0163,0.3095
14,0.2869378814924387,0.0259,0.0161,0.303
15,0.2837747559013785,0.0291,0.0183,0.3312
16,0.2844179148930171,0.0241,0.015,0.2619
17,0.2785758703263624,0.0258,0.0157,0.2987
18,0.2799339181952141,0.0236,0.0145,0.2771
19,0.2770451941131625,0.0244,0.0148,0.303
20,0.2776316690275738,0.0263,0.016,0.316
21,0.275805181793416,0.0254,0.016,0.2922
22,0.2725544055266056,0.0264,0.0159,0.2965
23,0.2745740881443423,0.0238,0.0149,0.2727
24,0.272282295014205,0.0253,0.0155,0.2987
25,0.2733013372498663,0.0239,0.0142,0.2835
26,0.2715263308245565,0.0249,0.0146,0.2814
27,0.2719044825203204,0.0293,0.0165,0.3203
28,0.2704154575371401,0.025,0.0159,0.3095
29,0.2681167643088248,0.0265,0.0163,0.2879
30,0.270427876394875,0.024,0.0161,0.2922
31,0.2667318050157216,0.0206,0.0145,0.2641
32,0.2674371992324877,0.0251,0.0164,0.2987
33,0.2681358285440393,0.0261,0.017,0.3117
34,0.2650007102786489,0.0267,0.0164,0.3052
35,0.2675195096205562,0.0262,0.0171,0.3203
36,0.2659751008425651,0.0239,0.0165,0.3139
37,0.2643841953876751,0.0247,0.0158,0.2835
38,0.2635642488064361,0.0246,0.0167,0.3117
39,0.2635051870115061,0.0259,0.0163,0.2965
40,0.2640443582168632,0.0261,0.0159,0.3074
41,0.2626146200394189,0.0258,0.0171,0.2965
42,0.2615460931912057,0.0238,0.0159,0.3009
43,0.2598498000515014,0.0227,0.0164,0.2814
44,0.2579228130503998,0.024,0.0156,0.2879
45,0.2618888860098536,0.0288,0.0181,0.3355
46,0.2607333766444048,0.0248,0.0159,0.3052
47,0.2603317098195964,0.0252,0.0155,0.2922
48,0.2576648116181246,0.0273,0.0162,0.3182
49,0.2578929838250962,0.0242,0.0153,0.2922
50,0.2588101978033266,0.0245,0.0161,0.2835
51,0.2584827468043755,0.0206,0.0147,0.2706
52,0.2564049760120524,0.0207,0.0144,0.2749
53,0.2547593704407025,0.0241,0.0153,0.2727
54,0.2558748560728411,0.0218,0.0135,0.2424
55,0.2523279997215049,0.0209,0.0146,0.2532
56,0.2523488489163296,0.0177,0.0137,0.2359
57,0.2530164841040566,0.0203,0.0144,0.2576
58,0.254529548545346,0.019,0.0141,0.2641
59,0.2523456686031199,0.0236,0.0139,0.2684
60,0.253991334475377,0.0227,0.0141,0.2814
61,0.2502399739475519,0.0211,0.0133,0.2446
62,0.2516843806414608,0.0212,0.0144,0.2749
63,0.2486425895073781,0.0216,0.014,0.2597
64,0.2481717757582651,0.0195,0.0132,0.2554
65,0.2481661220267002,0.0212,0.0144,0.2662
66,0.2501507564180587,0.0194,0.0141,0.2641
67,0.2475307652065548,0.0181,0.0137,0.2619
68,0.2470357269342173,0.0227,0.0139,0.2597
69,0.2447892953301319,0.0202,0.013,0.2619
70,0.2440266064609489,0.0222,0.0144,0.2792
71,0.2442487179173765,0.0239,0.0143,0.2835
72,0.2439797110901963,0.0199,0.0135,0.2597
73,0.2405795035214382,0.0195,0.0139,0.2619
74,0.2424003364593299,0.0223,0.0145,0.2792
75,0.2395257688879149,0.0228,0.0147,0.2706
76,0.2386719885595119,0.0213,0.014,0.2749
77,0.2391963684920223,0.0235,0.0148,0.2771
78,0.2398421262558884,0.0227,0.0149,0.2684
79,0.2377955678744067,0.0202,0.0147,0.2706
80,0.2383393976490193,0.0222,0.0137,0.2662
81,0.2379243885714756,0.0212,0.0143,0.2814
82,0.2359522799424587,0.0218,0.0147,0.2727
83,0.2350862853424195,0.0248,0.015,0.2987
84,0.237649791611101,0.0214,0.016,0.2857
85,0.2337776653265701,0.0214,0.0151,0.2792
86,0.2307926393751701,0.0218,0.0143,0.2619
87,0.2321776162569937,0.0229,0.0144,0.2814
88,0.2357821346234695,0.0238,0.0151,0.2835
89,0.2327348352277389,0.0245,0.015,0.2944
90,0.2298589567528704,0.0242,0.0149,0.3095
91,0.2312472007202734,0.0212,0.0153,0.2814
92,0.2285735940860633,0.021,0.0145,0.2641
93,0.2288863219369181,0.0235,0.0154,0.2944
94,0.227615050895776,0.0229,0.0156,0.2944
95,0.2272647947404922,0.0225,0.0162,0.3074
96,0.2278335810795889,0.0224,0.0153,0.2879
97,0.2255228890512446,0.0248,0.0168,0.3268
98,0.2261618327191635,0.0235,0.0161,0.3117
99,0.2245302802790089,0.0222,0.016,0.3095
