# Arguments: [DistMult(3595, num_relations=7, hidden_channels=50), 8000, 100, False]
# Training time: 120.99145674705505
Epoch,Loss,Precision,Recall,Hits
0,1.000003447449912,0.0082,0.0118,0.1385
1,0.9999937256156576,0.0082,0.0119,0.1385
2,0.999984200433687,0.0082,0.0119,0.1385
3,0.9999767098706296,0.0087,0.0119,0.1472
4,0.999968409651614,0.0087,0.0119,0.1472
5,0.9999631223675782,0.0088,0.0119,0.1494
6,0.9999544119906684,0.0087,0.0119,0.1472
7,0.9999477628039862,0.009,0.012,0.1515
8,0.9999381848329156,0.0089,0.012,0.1494
9,0.9999322929003536,0.0087,0.012,0.1472
10,0.9999240360749444,0.0087,0.012,0.1472
11,0.9999131625633952,0.0088,0.012,0.1494
12,0.9999073660565564,0.0085,0.0116,0.145
13,0.999888761050889,0.0085,0.0116,0.145
14,0.9998812478485104,0.0087,0.0116,0.145
15,0.9998691566226908,0.0091,0.012,0.1494
16,0.9998583050582482,0.0091,0.0116,0.1472
17,0.99984124462829,0.0094,0.0117,0.1494
18,0.9998252423781184,0.01,0.0118,0.1558
19,0.9998117877248917,0.0102,0.0118,0.1558
20,0.9997906893335896,0.0103,0.0119,0.1558
21,0.9997692013443726,0.0103,0.0123,0.158
22,0.9997482538760306,0.0103,0.0122,0.158
23,0.9997150237191684,0.0107,0.0123,0.1602
24,0.999683551775862,0.011,0.0124,0.1623
25,0.999646744881536,0.0111,0.0124,0.1645
26,0.9996062839727212,0.0114,0.0125,0.1732
27,0.999561671718398,0.0118,0.0125,0.1818
28,0.99950309353704,0.0126,0.0126,0.184
29,0.9994457386859292,0.0126,0.0127,0.184
30,0.999373549930408,0.0128,0.0127,0.184
31,0.9992893758740492,0.0137,0.0128,0.1861
32,0.999206010180975,0.0147,0.0131,0.1991
33,0.9990959608419636,0.0155,0.014,0.21
34,0.998964048363264,0.0161,0.0142,0.2186
35,0.9988247585788332,0.0166,0.0143,0.2229
36,0.9986699664511512,0.017,0.0145,0.2338
37,0.9984858155215466,0.0174,0.0147,0.2338
38,0.9982874271023512,0.0181,0.0147,0.2403
39,0.998045661359404,0.0192,0.0153,0.2468
40,0.997783619187145,0.0209,0.016,0.2576
41,0.9974889751200986,0.0215,0.0163,0.2662
42,0.9971496926551576,0.0212,0.0163,0.2641
43,0.9967859826825666,0.0222,0.0166,0.2749
44,0.9963509821409798,0.0224,0.0165,0.2792
45,0.9958881539121076,0.0241,0.017,0.2922
46,0.9953852927004984,0.025,0.0173,0.2944
47,0.9948064967528782,0.0249,0.0166,0.29
48,0.99417811453503,0.0261,0.0174,0.3052
49,0.9934848695571752,0.0266,0.0176,0.3139
50,0.9927247462666544,0.0268,0.0171,0.3182
51,0.9919097710694218,0.0267,0.017,0.3203
52,0.9909935837823108,0.0269,0.0172,0.3225
53,0.9899929046949304,0.0268,0.0169,0.3182
54,0.9889052485635976,0.0272,0.017,0.3203
55,0.9877959087042716,0.0275,0.0172,0.3203
56,0.9865603379250284,0.0276,0.0171,0.3225
57,0.9851913564346528,0.0276,0.0173,0.3312
58,0.9837683595144662,0.0276,0.0174,0.3333
59,0.9822135212314926,0.0277,0.0174,0.3312
60,0.9806119719557276,0.0279,0.0176,0.3333
61,0.9788027543034749,0.0276,0.0174,0.3333
62,0.9769945295766538,0.0277,0.0174,0.3333
63,0.9749444085266604,0.0274,0.0177,0.3333
64,0.9728648579272032,0.0275,0.0177,0.3333
65,0.9706310060150938,0.0281,0.0181,0.3377
66,0.9683133670254604,0.0281,0.0182,0.3398
67,0.9659238651580716,0.0287,0.0183,0.3377
68,0.963191300631244,0.0286,0.0183,0.3377
69,0.9603417652564854,0.0287,0.0185,0.3398
70,0.9576212329445448,0.0286,0.0184,0.342
71,0.9544944412704558,0.0287,0.0186,0.3485
72,0.9512387399150132,0.0286,0.0185,0.3463
73,0.947962556862403,0.029,0.0186,0.3506
74,0.9443287728754288,0.0293,0.0189,0.355
75,0.9407160624855307,0.0294,0.0189,0.3571
76,0.936783765775262,0.0293,0.0189,0.3571
77,0.933157379869894,0.0293,0.0189,0.3571
78,0.9286392733822064,0.0295,0.0191,0.3636
79,0.9244773401780207,0.0292,0.0189,0.3593
80,0.920098617068076,0.0295,0.0191,0.3615
81,0.9154179266293448,0.0293,0.0188,0.3593
82,0.910656274673886,0.0297,0.019,0.3615
83,0.905661553981724,0.0298,0.0191,0.3658
84,0.9002331157908144,0.0298,0.019,0.368
85,0.8951584747086813,0.0292,0.0187,0.3593
86,0.8892241176093402,0.029,0.0187,0.3593
87,0.883983676605146,0.0291,0.0187,0.3593
88,0.8779027710339186,0.0291,0.0186,0.3593
89,0.872190999935625,0.029,0.0187,0.355
90,0.8658336136082182,0.0289,0.0187,0.355
91,0.8598910319746583,0.0291,0.0188,0.3571
92,0.8532709853303113,0.0293,0.0186,0.355
93,0.8467048060345369,0.0295,0.0187,0.3593
94,0.8391742710886604,0.0294,0.0188,0.3593
95,0.8328426095446405,0.0292,0.0188,0.3571
96,0.8255145410265324,0.0293,0.0189,0.3593
97,0.8177027564563354,0.0293,0.0188,0.3571
98,0.8096834691161898,0.029,0.0184,0.3571
99,0.8022217541265808,0.0286,0.0186,0.3528
