# Arguments: [TransE(3595, num_relations=7, hidden_channels=100), 8000, 100, False]
# Training time: 137.8656132221222
Epoch,Loss,Precision,Recall,Hits
0,0.8991880820203021,0.0147,0.0118,0.21
1,0.6462002631882449,0.0222,0.0146,0.2771
2,0.4545281112660935,0.0238,0.0169,0.3052
3,0.370414807446296,0.0258,0.018,0.3225
4,0.3259993303771513,0.0228,0.0151,0.2922
5,0.3016577453224723,0.0223,0.0141,0.2771
6,0.2903695072239715,0.022,0.0138,0.2684
7,0.2858336019153827,0.0232,0.0146,0.2922
8,0.2825195795989432,0.0233,0.014,0.2814
9,0.2800785073011933,0.0206,0.0141,0.2771
10,0.2803575367837199,0.0249,0.0161,0.3095
11,0.2776270507666458,0.0216,0.0147,0.2792
12,0.2744548696043525,0.0248,0.016,0.3225
13,0.2751527820210491,0.026,0.0165,0.3333
14,0.2723048637253766,0.0289,0.0181,0.3701
15,0.2725407561547075,0.0232,0.0159,0.3117
16,0.274703425525758,0.0261,0.0162,0.3225
17,0.2706948585599634,0.0258,0.0166,0.316
18,0.2692172086509,0.022,0.0147,0.2944
19,0.2685207086735546,0.0209,0.0143,0.2662
20,0.2647224728171449,0.0198,0.013,0.2468
21,0.264570606888505,0.0244,0.0155,0.303
22,0.2659759143283033,0.0235,0.0161,0.3225
23,0.2652795086148947,0.0228,0.0141,0.2771
24,0.2612649124877495,0.0237,0.0144,0.2922
25,0.2629568147795046,0.0242,0.0154,0.3074
26,0.2612040916936073,0.024,0.0164,0.3074
27,0.2603438613729729,0.0248,0.0161,0.3139
28,0.2608514824448293,0.0219,0.0148,0.29
29,0.26125967160265,0.0267,0.0181,0.3333
30,0.2574348913763862,0.0227,0.0159,0.2944
31,0.2592931002708378,0.0248,0.0157,0.3009
32,0.259000562033746,0.0232,0.0156,0.2944
33,0.2575848071001639,0.0238,0.0157,0.2835
34,0.2546586142758237,0.0202,0.0154,0.2879
35,0.2541716410808085,0.0206,0.0149,0.2792
36,0.2532424751133731,0.0211,0.0157,0.2749
37,0.254526140380283,0.0245,0.0168,0.3052
38,0.2504595267113654,0.0268,0.0161,0.3268
39,0.2509503006635565,0.0226,0.0147,0.2814
40,0.2484782175276376,0.0227,0.0145,0.2857
41,0.2482373630821325,0.0233,0.0145,0.2944
42,0.2487351487780341,0.0208,0.0128,0.2446
43,0.2481399415807614,0.0207,0.0135,0.2597
44,0.2446649749594958,0.0192,0.0131,0.2554
45,0.2475957131892077,0.0212,0.0141,0.2814
46,0.2473367452587726,0.0245,0.0158,0.2987
47,0.2446735966179419,0.0226,0.0137,0.2944
48,0.2463954874933949,0.0226,0.0155,0.3095
49,0.2441440591069076,0.024,0.0151,0.2944
50,0.2430017683054143,0.022,0.0147,0.2879
51,0.2426919133207152,0.0177,0.0128,0.2489
52,0.2421303748557553,0.0233,0.0161,0.3095
53,0.2386561097198174,0.0249,0.016,0.316
54,0.2404682131990282,0.0234,0.0156,0.303
55,0.2382593378993056,0.025,0.0169,0.3355
56,0.2393425362656029,0.0249,0.0173,0.3247
57,0.2396281405399894,0.0246,0.0164,0.2987
58,0.2385405415541191,0.0213,0.0161,0.2835
59,0.238171394919533,0.0226,0.0163,0.2944
60,0.2382604029330933,0.0248,0.0164,0.3074
61,0.2379076709056692,0.0242,0.0165,0.3182
62,0.234893291521393,0.0238,0.0146,0.29
63,0.2352216873513865,0.0233,0.0156,0.3009
64,0.2340768290784364,0.0212,0.0138,0.2814
65,0.2360745942692742,0.0206,0.0144,0.2835
66,0.2338376507732134,0.0185,0.0122,0.2489
67,0.2321754954850604,0.0231,0.0146,0.3117
68,0.2336226289825081,0.0215,0.0136,0.2619
69,0.2342560852483133,0.021,0.0133,0.2511
70,0.2315835535672679,0.0213,0.0148,0.29
71,0.229499801918144,0.0241,0.0152,0.2944
72,0.2359206785732923,0.0225,0.015,0.2749
73,0.2341236848226184,0.0222,0.0159,0.3052
74,0.2303156118900784,0.02,0.0149,0.2662
75,0.2318712324379681,0.0216,0.0139,0.2706
76,0.2291058041377137,0.0205,0.0134,0.2619
77,0.2299151104178456,0.0221,0.014,0.2792
78,0.2304791849327252,0.0235,0.0162,0.3052
79,0.2283451713497982,0.0227,0.0167,0.2965
80,0.2306242494647844,0.0228,0.0161,0.2965
81,0.229356617022869,0.0244,0.0175,0.3117
82,0.2288165306386772,0.0232,0.0152,0.3074
83,0.2274661620975666,0.0241,0.0159,0.3009
84,0.2264884434896951,0.0245,0.0159,0.3095
85,0.225846435050672,0.0236,0.0154,0.2987
86,0.2274793489404302,0.0262,0.0169,0.3117
87,0.2278378013823939,0.0259,0.0174,0.3182
88,0.2249321996018061,0.024,0.0152,0.2944
89,0.2270068004907838,0.0244,0.0164,0.3117
90,0.2281218365681837,0.0262,0.0164,0.3247
91,0.22616889835304,0.0229,0.017,0.303
92,0.2246619533881778,0.0211,0.0148,0.2814
93,0.2234492207783579,0.0209,0.0149,0.29
94,0.2244722477737007,0.0211,0.0141,0.2597
95,0.2250120204205267,0.0231,0.0154,0.2857
96,0.2230724026766437,0.0199,0.0151,0.2706
97,0.2223654868689218,0.0259,0.0158,0.3009
98,0.2238967600167762,0.0238,0.0162,0.3052
99,0.2221190486436162,0.0216,0.0148,0.2835
