# Arguments: [ComplEx(3595, num_relations=7, hidden_channels=50), 8000, 100, False]
# Training time: 140.91519498825073
Epoch,Loss,Precision,Recall,Hits
46,0.6917211631046428,"tensor(0.0224, device='cuda:0')","tensor(0.0138, device='cuda:0')","tensor(0.2576, device='cuda:0')"
47,0.6916467313548101,"tensor(0.0233, device='cuda:0')","tensor(0.0140, device='cuda:0')","tensor(0.2662, device='cuda:0')"
48,0.6915762528422582,"tensor(0.0234, device='cuda:0')","tensor(0.0140, device='cuda:0')","tensor(0.2662, device='cuda:0')"
49,0.691499716103788,"tensor(0.0238, device='cuda:0')","tensor(0.0141, device='cuda:0')","tensor(0.2706, device='cuda:0')"
50,0.6914216204703527,"tensor(0.0237, device='cuda:0')","tensor(0.0141, device='cuda:0')","tensor(0.2706, device='cuda:0')"
51,0.6913373412986193,"tensor(0.0238, device='cuda:0')","tensor(0.0142, device='cuda:0')","tensor(0.2792, device='cuda:0')"
52,0.6912566795403743,"tensor(0.0242, device='cuda:0')","tensor(0.0145, device='cuda:0')","tensor(0.2835, device='cuda:0')"
53,0.6911725399611456,"tensor(0.0244, device='cuda:0')","tensor(0.0146, device='cuda:0')","tensor(0.2879, device='cuda:0')"
54,0.6910888877858009,"tensor(0.0241, device='cuda:0')","tensor(0.0146, device='cuda:0')","tensor(0.2835, device='cuda:0')"
55,0.6909852517408677,"tensor(0.0244, device='cuda:0')","tensor(0.0146, device='cuda:0')","tensor(0.2857, device='cuda:0')"
56,0.6909060789585448,"tensor(0.0244, device='cuda:0')","tensor(0.0150, device='cuda:0')","tensor(0.2922, device='cuda:0')"
57,0.6908024087076997,"tensor(0.0242, device='cuda:0')","tensor(0.0149, device='cuda:0')","tensor(0.2900, device='cuda:0')"
58,0.6907031474221305,"tensor(0.0247, device='cuda:0')","tensor(0.0150, device='cuda:0')","tensor(0.2944, device='cuda:0')"
59,0.6906079557953834,"tensor(0.0244, device='cuda:0')","tensor(0.0147, device='cuda:0')","tensor(0.2857, device='cuda:0')"
60,0.6904944947762635,"tensor(0.0246, device='cuda:0')","tensor(0.0147, device='cuda:0')","tensor(0.2900, device='cuda:0')"
61,0.6903881018630212,"tensor(0.0249, device='cuda:0')","tensor(0.0148, device='cuda:0')","tensor(0.2922, device='cuda:0')"
62,0.6902910518419011,"tensor(0.0250, device='cuda:0')","tensor(0.0149, device='cuda:0')","tensor(0.2965, device='cuda:0')"
63,0.6901760168893589,"tensor(0.0250, device='cuda:0')","tensor(0.0148, device='cuda:0')","tensor(0.2944, device='cuda:0')"
64,0.6900537945110031,"tensor(0.0250, device='cuda:0')","tensor(0.0146, device='cuda:0')","tensor(0.2922, device='cuda:0')"
65,0.6899425363242714,"tensor(0.0251, device='cuda:0')","tensor(0.0148, device='cuda:0')","tensor(0.2900, device='cuda:0')"
66,0.689823223105421,"tensor(0.0251, device='cuda:0')","tensor(0.0148, device='cuda:0')","tensor(0.2900, device='cuda:0')"
67,0.6896931992140527,"tensor(0.0254, device='cuda:0')","tensor(0.0149, device='cuda:0')","tensor(0.2922, device='cuda:0')"
68,0.6895650546710459,"tensor(0.0256, device='cuda:0')","tensor(0.0150, device='cuda:0')","tensor(0.2922, device='cuda:0')"
69,0.689443598098963,"tensor(0.0253, device='cuda:0')","tensor(0.0148, device='cuda:0')","tensor(0.2879, device='cuda:0')"
70,0.6893085210768564,"tensor(0.0254, device='cuda:0')","tensor(0.0149, device='cuda:0')","tensor(0.2922, device='cuda:0')"
71,0.6891831147434071,"tensor(0.0259, device='cuda:0')","tensor(0.0151, device='cuda:0')","tensor(0.3009, device='cuda:0')"
72,0.6890302829126806,"tensor(0.0256, device='cuda:0')","tensor(0.0149, device='cuda:0')","tensor(0.2944, device='cuda:0')"
73,0.6889013780579364,"tensor(0.0258, device='cuda:0')","tensor(0.0150, device='cuda:0')","tensor(0.2944, device='cuda:0')"
74,0.6887294506008186,"tensor(0.0256, device='cuda:0')","tensor(0.0150, device='cuda:0')","tensor(0.2965, device='cuda:0')"
75,0.6885947605454028,"tensor(0.0259, device='cuda:0')","tensor(0.0156, device='cuda:0')","tensor(0.3009, device='cuda:0')"
76,0.6884571529119141,"tensor(0.0258, device='cuda:0')","tensor(0.0156, device='cuda:0')","tensor(0.2965, device='cuda:0')"
77,0.6883029026665968,"tensor(0.0260, device='cuda:0')","tensor(0.0158, device='cuda:0')","tensor(0.2987, device='cuda:0')"
78,0.6881554125295702,"tensor(0.0260, device='cuda:0')","tensor(0.0157, device='cuda:0')","tensor(0.2987, device='cuda:0')"
